symbol,avg_error_pct,direction_accuracy,count
OLPL,0.978277939778866,0.0,1
OML,1.7391625630491176,0.0,1
ORM,1.5169688289593137,0.0,1
OTSU,6.8136439737296355,0.0,1
PACE,7.47817805069494,0.0,1
PAEL,1.3747203200368474,0.0,1
PAKD,0.16607944284084267,0.0,1
PAKOXY,0.6132197744729693,0.0,1
PAKRI,5.493564742373583,0.0,1
PAKT,0.283857212493995,0.0,1
PASL,6.184133997640506,0.0,1
PCAL,0.5530084523817433,0.0,1
PECO,2.8593072656408745,0.0,1
PGLC,0.17812580631606173,0.0,1
PIBTL,1.0450592003682668,0.0,1
PICT,0.6594561638468199,0.0,1
PIL,1.8093768499288312,0.0,1
PIM,10.36228655301608,0.0,1
PINL,0.3397807540531723,0.0,1
PIOC,21.202112495609036,0.0,1
PKGI,27.64595167618796,0.0,1
PKGP,2.6453345700128232,0.0,1
PKGS,0.4278649356911154,0.0,1
PMRS,2.1852206742212505,0.0,1
PNSC,1.9445540319130077,0.0,1
POL,0.9494286972955963,0.0,1
POML,0.10699344833199315,0.0,1
POWER,1.6196989463529647,0.0,1
PPL,1.8558091507276369,0.0,1
PPP,2.154898365124439,0.0,1
PPVC,19.761519308030344,0.0,1
PREMA,0.28515884123411245,0.0,1
PRET,2.9834164875858185,0.0,1
PRL,0.12472871576366264,0.0,1
PRWM,0.7712839017682995,0.0,1
PSO,3.222282070959468,0.0,1
PSX,2.0156754556010057,0.0,1
PSYL,3.9295562101336965,0.0,1
PTC,8.778220599001147,0.0,1
QUET,5.177730416606082,0.0,1
QUICE,3.4109504832671846,0.0,1
REDCO,7.636960787567697,0.0,1
REWM,0.42022768045687986,0.0,1
RICL,0.30361849579486727,0.0,1
RMPL,0.6239711111695951,0.0,1
RPL,0.5368678536412662,0.0,1
RUBY,6.0487479678012095,0.0,1
RUPL,0.9778007247278895,0.0,1
SAIF,19.934238468136652,0.0,1
SANSM,3.3396989129206154,0.0,1
SAPT,1.1564623926171484,0.0,1
SARC,0.8742800223983253,0.0,1
SAZEW,1.7676503614337487,0.0,1
SBL,1.4865908538601842,0.0,1
SCBPL,0.6473100428446937,0.0,1
SCL,32.231433952960245,0.0,1
SEARL,2.807632124343932,0.0,1
SEL,15.705266810233908,0.0,1
SEPL,2.1439061818918517,0.0,1
SERT,1.1259348225593513,0.0,1
SFL,1.001607545995391,0.0,1
SHCM,4.969100398411582,0.0,1
SHDT,1.5049816987119102,0.0,1
SHEZ,1.87459787392704,0.0,1
SHFA,0.40371860273253374,0.0,1
SHJS,1.0851348307086772,0.0,1
SHNI,19.43314256668388,0.0,1
SHSML,3.5970270076738524,0.0,1
SIBL,2.9321671162528524,0.0,1
SIEM,3.1027979546714892,0.0,1
SINDM,2.0041257464444757,0.0,1
SITC,2.133447195064131,0.0,1
SKRS,0.7081021789909544,0.0,1
SLYT,13.089980892454003,0.0,1
SMCPL,8.499297667746578,0.0,1
SML,5.459337399043893,0.0,1
SNAI,3.9452333186054456,0.0,1
SNBL,1.266926267003487,0.0,1
SNGP,2.5572552982625134,0.0,1
SPEL,4.187364178765122,0.0,1
SPL,30.60925827093497,0.0,1
SPWL,3.008807469965062,0.0,1
SRVI,0.6708396492485413,0.0,1
SSGC,0.3806647158669519,0.0,1
SSML,11.923688617962176,0.0,1
SSOM,2.46434592417592,0.0,1
STCL,6.180823087842198,0.0,1
STJT,2.3511754275925045,0.0,1
STML,0.9181517241345241,0.0,1
STPL,2.9839942453633097,0.0,1
SURC,2.3311619181925316,0.0,1
SUTM,7.2152596028252844,0.0,1
SYS,1.158365540337622,0.0,1
TATM,22.098988304857855,0.0,1
TELE,7.80012569532106,0.0,1
TGL,7.8998871667253185,0.0,1
THALL,1.440478156085718,0.0,1
THCCL,5.768997420919534,0.0,1
TICL,12.634130214508371,0.0,1
TOMCL,9.130598407869122,0.0,1
TOWL,1.1784152032291215,0.0,1
TPL,9.504256250815796,0.0,1
TPLI,4.938302620697449,0.0,1
TPLP,5.995454603715872,0.0,1
TPLT,3.926642769051411,0.0,1
TREET,5.232285732226557,0.0,1
TRG,2.194699519344443,0.0,1
TRIPF,0.19418967352972114,0.0,1
TRSM,12.167445788376817,0.0,1
TSBL,2.722048950517225,0.0,1
TSMF,3.4441862180968066,0.0,1
TSML,10.169743379848214,0.0,1
TSPL,1.028230400809569,0.0,1
UBDL,1.951388415414049,0.0,1
UBL,0.12518066667778532,0.0,1
UCAPM,4.602354028417803,0.0,1
UDPL,1.0279737610506967,0.0,1
UNIC,1.389602860650267,0.0,1
UNITY,1.7722695445716035,0.0,1
UPFL,0.4396459936273097,0.0,1
UVIC,0.4602589332042686,0.0,1
WAHN,2.4692241581339354,0.0,1
WAVES,5.359488401963186,0.0,1
WTL,3.746175790717133,0.0,1
YOUW,2.005728448895965,0.0,1
ZAHID,0.9933382358756762,0.0,1
ZIL,4.12478925905992,0.0,1
ZTL,0.7308398485249276,0.0,1
