security_id,security_ticker,security_name,sector_id,sector
131020,CJPL,Crescent Jute Products Limited,0814,JUTE
131140,SUHJ,Suhail Jute Mills Limited,0814,JUTE
131160,THALL,Thal Limited,0802,AUTOMOBILE PARTS & ACCESSORIES
141000,ADAMS,Adam Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141010,AABS,Al-Abbas Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141020,AGSML,Abdullah Shah Ghazi Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141040,ALNRS,Al-Noor Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141060,ANSM,Ansari Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141080,BAFS,Baba Farid Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141170,CHAS,Chashma Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141175,IMSL,Imperial Sugar Limited,0826,SUGAR & ALLIED INDUSTRIES
141180,CCM,Crescent Cotton Mills Limited,0830,TEXTILE SPINNING
141200,DWSM,Dewan Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141210,FCEPL,Frieslandcampins Engro Foods Limited,0810,FOOD & PERSONAL CARE PRODUCTS
141220,FRSM,Faran Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141320,HABSM,Habib Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141340,HRPL,Habib Rice Product Limited.,0826,SUGAR & ALLIED INDUSTRIES
141350,HWQS,Haseeb Waqas Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141360,HSM,Husein Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141390,JDWS,JDW Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141395,KPUS,Khairpur Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141400,JSML,Jauharabad Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141420,MRNS,Mehran Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141440,MIRKS,Mirpurkhas Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141460,NONS,Noon Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141500,PMRS,The Premier Sugar Mills,0826,SUGAR & ALLIED INDUSTRIES
141520,SKRS,Sakrand Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141540,SANSM,Sanghar Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141560,SHJS,Shahtaj Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141580,SHSML,Shahmurad Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141600,SML,Shakarganj Limited,0826,SUGAR & ALLIED INDUSTRIES
141620,SASML,Sindh Abadgar's Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141630,TSML,Tandlianwala Sugar Mills Limited,0826,SUGAR & ALLIED INDUSTRIES
141640,TICL,The Thal Industries Corporation Limited,0826,SUGAR & ALLIED INDUSTRIES
150940,ACPL,Attock Cement Pakistan Limited,0804,CEMENT
150960,BWCL,Bestway Cement Limited,0804,CEMENT
151000,CHCC,Cherat Cement Company Limited,0804,CEMENT
151010,DBCI,Dadabhoy Cement Industries Limited,0804,CEMENT
151040,DNCC,Dandot Cement Company Limited,0804,CEMENT
151050,DGKC,D.G. Khan Cement Company Limited,0804,CEMENT
151060,POWER,Power Cement Limited,0804,CEMENT
151064,POWERPS,Power Cement (Pref),0804,CEMENT
151065,FCCL,Fauji Cement Company Limited,0804,CEMENT
151070,FECTC,Fecto Cement Limited,0804,CEMENT
151075,FLYNG,Flying Cement Company Limited,0804,CEMENT
151080,GWLC,Gharibwal Cement Limited,0804,CEMENT
151100,JVDC,Javedan Corporation Limited,0804,CEMENT
151102,JVDCPS,Javedan Corporation (Pref),0804,CEMENT
151103,KOHC,Kohat Cement Company Limited,0804,CEMENT
151105,LUCK,Lucky Cement Limited,0804,CEMENT
151110,MLCF,Maple Leaf Cement Factory Limited,0804,CEMENT
151140,DCL,Dewan Cement Limited,0804,CEMENT
151150,PIOC,Pioneer Cement Limited,0804,CEMENT
151155,SMCPL,Safe Mix Concrete Limited,0804,CEMENT
151160,THCCL,Thatta Cement Company Limited,0804,CEMENT
151180,ZELP,Zeal Pak Cement Factory Limited,0804,CEMENT
161000,KHTC,Khyber Tobacco Company Limited,0832,TOBACCO
161020,PMPK,Philip Morris (Pakistan) Limited,0832,TOBACCO
161040,PAKT,Pakistan Tobacco Company Limited,0832,TOBACCO
171000,ATRL,Attock Refinery Limited,0825,REFINERY
171010,BYCO,Byco Petroleum Pakistan Limited,0825,REFINERY
171080,NRL,National Refinery Limited,0825,REFINERY
171140,PRL,Pakistan Refinery Limited,0825,REFINERY
180980,ALTN,Altern Energy Limited,0824,POWER GENERATION & DISTRIBUTION
180990,EPQL,Engro Powergen Qadirpur Limited,0824,POWER GENERATION & DISTRIBUTION
181035,AEL,Arshad Energy Limited,0824,POWER GENERATION & DISTRIBUTION
181037,JPGL,Japan Power Generation Limited,0824,POWER GENERATION & DISTRIBUTION
181050,HUBC,The Hub Power Company Limited,0824,POWER GENERATION & DISTRIBUTION
181060,KEL,K-Electric Limited,0824,POWER GENERATION & DISTRIBUTION
181062,KOHE,Kohinoor Energy Limited,0824,POWER GENERATION & DISTRIBUTION
181070,KOHP,Kohinoor Power Company Limited,0824,POWER GENERATION & DISTRIBUTION
181075,LPL,Lalpir Power Limited,0824,POWER GENERATION & DISTRIBUTION
181080,KAPCO,Kot Addu Power Company Limited,0824,POWER GENERATION & DISTRIBUTION
181085,NCPL,Nishat Chunian Power Limited,0824,POWER GENERATION & DISTRIBUTION
181090,NPL,Nishat Power Limited,0824,POWER GENERATION & DISTRIBUTION
181095,PKGP,Pakgen Power Limited,0824,POWER GENERATION & DISTRIBUTION
181100,SPWL,Saif Power Limited,0824,POWER GENERATION & DISTRIBUTION
181165,SGPL,S.G. Power Limited,0824,POWER GENERATION & DISTRIBUTION
181175,SEL,Sitara Energy Limited,0824,POWER GENERATION & DISTRIBUTION
181220,TSPL,Tri-Star Power Limited,0824,POWER GENERATION & DISTRIBUTION
191000,APL,Attock Petroleum Limited,0821,OIL & GAS MARKETING COMPANIES
191160,PSO,Pakistan State Oil Company Limited,0821,OIL & GAS MARKETING COMPANIES
